Account,date,account_total_pnl,account_trade_count,account_win_rate,sentiment_label,sentiment_score
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0.0,Extreme Greed,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0.0,Extreme Greed,90.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0.0,Extreme Greed,83.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,0.0,Extreme Greed,94.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,0.4444444444444444,Extreme Greed,79.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,0.0,Extreme Greed,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0.0,Extreme Greed,84.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,0.0,Greed,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,0.04946236559139785,Extreme Greed,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,0.5490196078431373,Extreme Greed,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,0.9,Greed,60.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,0.30512514898688914,Fear,44.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,0.15630885122410546,Greed,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,0.37142857142857144,Neutral,54.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,0.9361702127659575,Neutral,46.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,0.3333333333333333,Fear,43.0
